Konsument HSA-id;Konsument beskrivning;Antal anrop;Tjänstekontrakt;Logisk Adressat HSA-id;Logisk Adressat beskrivning;Producent HSA-id;Producent beskrivning
===============;===============;===============;===============;===============;===============;===============;===============
HSASERVICES-102X;CGM 1;440099;urn:riv:insuranceprocess:healthreporting:FindAllAnswers:1:rivtabp20;5565594230;Inera organisations id;HSASERVICES-105L - PU;NPÖ - PU
HSASERVICES-102X;CGM 1;440099;urn:riv:insuranceprocess:healthreporting:FindAllQuestions:1:rivtabp20;5565594230;Inera organisations id;HSASERVICES-105L - PU;NPÖ - PU
HSASERVICES-102X;CGM 1;3173;urn:riv:insuranceprocess:healthreporting:RegisterMedicalCertificate:3:rivtabp20;2021005521;Försäkringskassan org id;SE162021005521-0003 - SMCA - Internal;Transformering - SendMedicalCertificateAnswer - Internal - RIVTA20
HSASERVICES-102X;CGM 1;485;urn:riv:insuranceprocess:healthreporting:DeleteQuestions:1:rivtabp20;5565594230;Inera organisations id;HSASERVICES-105L - PU;NPÖ - PU
HSASERVICES-102X;CGM 1;137;urn:riv:insuranceprocess:healthreporting:SendMedicalCertificateAnswer:1:rivtabp20;2021005521;Försäkringskassan org id;SE162021005521-0003 - SMCA - Internal;Transformering - SendMedicalCertificateAnswer - Internal - RIVTA20
HSASERVICES-102X;CGM 1;24;urn:riv:insuranceprocess:healthreporting:SendMedicalCertificateQuestion:1:rivtabp20;2021005521;Försäkringskassan org id;SE162021005521-0003 - SMCA - Internal;Transformering - SendMedicalCertificateAnswer - Internal - RIVTA20
HSASERVICES-102X;CGM 1;7;urn:riv:insuranceprocess:healthreporting:DeleteAnswers:1:rivtabp20;5565594230;Inera organisations id;HSASERVICES-105L - PU;NPÖ - PU
SE2321000057-0059;LJ - Cosmic - VRI;340574;urn:riv:processdevelopment:infections:ProcessCondition:1:rivtabp20;SE2321000057-493K;VG: Jönköpings Landsting;SE5565594230-B8N - RMCQ;Vårdens Intyg - Webcert - RMCQ - RIVTA20
SE2321000057-0059;LJ - Cosmic - VRI;177159;urn:riv:processdevelopment:infections:ProcessActivity:1:rivtabp20;SE2321000057-493K;VG: Jönköpings Landsting;SE5565594230-B8N - RMCQ;Vårdens Intyg - Webcert - RMCQ - RIVTA20
SE2321000057-0059;LJ - Cosmic - VRI;8893;urn:riv:processdevelopment:infections:ProcessCareEncounter:1:rivtabp20;SE2321000057-493K;VG: Jönköpings Landsting;SE5565594230-B8N - RMCQ;Vårdens Intyg - Webcert - RMCQ - RIVTA20
SE2321000057-0059;LJ - Cosmic - VRI;1743;urn:riv:processdevelopment:infections:ProcessPrescriptionReason:1:rivtabp20;SE2321000057-493K;VG: Jönköpings Landsting;SE5565594230-B8N - RMCQ;Vårdens Intyg - Webcert - RMCQ - RIVTA20
SE2321000057-0059;LJ - Cosmic - VRI;31;urn:riv:processdevelopment:infections:DeleteCareEncounter:1:rivtabp20;SE2321000057-493K;VG: Jönköpings Landsting;SE5565594230-B8N - RMCQ;Vårdens Intyg - Webcert - RMCQ - RIVTA20
SE2321000057-0059;LJ - Cosmic - VRI;14;urn:riv:processdevelopment:infections:DeletePrescriptionReason:1:rivtabp20;SE2321000057-493K;VG: Jönköpings Landsting;SE5565594230-B8N - RMCQ;Vårdens Intyg - Webcert - RMCQ - RIVTA20
SE2321000016-532S;MVK;26177;urn:riv:crm:carelisting:GetListing:1:rivtabp20;01;Stockholm (länskod);SE2321000016-6T2X - GPQS;SLL - ListOn - GetPersonQueueStatus - RIVTA20
SE2321000016-532S;MVK;15767;urn:riv:crm:carelisting:GetListing:1:rivtabp20;12;Skåne (länskod);Skåne - Listning;Skåne - Listning
SE2321000016-532S;MVK;10499;urn:riv:crm:carelisting:GetListing:1:rivtabp20;14;Västra Götaland (länskod);SE2321000131-S000000013502 - GPQS;VGR - RTjP - GetPersonQueueStatus - RIVTA20
SE2321000016-532S;MVK;9022;urn:riv:crm:carelisting:GetListing:1:rivtabp20;05;Östergötland (länskod);SE2321000040-AA053 - GPQS;LiO - GetPersonQueueStatus - RIVTA20
SE2321000016-532S;MVK;7240;urn:riv:crm:carelisting:GetListing:1:rivtabp20;18;Örebro (länskod);SE2321000164-101F - GPQS;ÖLL - GetPersonQueueStatus - RIVTA20
SE2321000016-532S;MVK;6393;urn:riv:crm:carelisting:GetListing:1:rivtabp20;24;Västerbotten (länskod);SE162321000222-0B06 - GPQS;VLL - GetPersonQueueStatus - RIVTA20
SE2321000016-532S;MVK;4917;urn:riv:crm:carelisting:GetListing:1:rivtabp20;13;Halland (länskod);SE162321000115-F10010 - GPQS;Halland - GetPersonQueueStatus
SE2321000016-532S;MVK;4283;urn:riv:crm:carelisting:GetListing:1:rivtabp20;06;Jönköping (länskod);LJ - GPQS;LJ - GetPersonQueueStatus
SE2321000016-532S;MVK;4114;urn:riv:crm:carelisting:GetListing:1:rivtabp20;20;Dalarna (länskod);HVAL - GetListing;Hval24Service - GetListing
SE2321000016-532S;MVK;3716;urn:riv:crm:carelisting:GetListing:1:rivtabp20;21;Gävleborg (länskod);SE162321000198-001J - GPQS;LG - GetPersonQueueStatus - RIVTA20
SE2321000016-532S;MVK;3331;urn:riv:crm:carelisting:GetListing:1:rivtabp20;19;Västmanland (länskod);HVAL - GetListing;Hval24Service - GetListing
SE2321000016-532S;MVK;2882;urn:riv:crm:carelisting:GetListing:1:rivtabp20;22;Västernorrland (länskod);HSASERVICES-10F7 - GPQS;LVN - GetPersonQueueStatus - RIVTA20
SE2321000016-532S;MVK;2573;urn:riv:crm:carelisting:GetListing:1:rivtabp20;08;Kalmar (länskod);SE162321000073-0009 - GPQS;Kalmar - GetPersonQueueStatus
SE2321000016-532S;MVK;2413;urn:riv:crm:carelisting:GetListing:1:rivtabp20;25;Norrbotten (länskod);SE162321000230-0007 - Listning;NLL - Listning
SE2321000016-532S;MVK;1584;urn:riv:crm:carelisting:GetListing:1:rivtabp20;07;Kronoberg (länskod);Kronoberg - GPQS;Kronoberg - GetPersonQueueStatus
