TjÃ¤nstekontrakt	Konsument HSA-id	Konsument beskrivning	Logisk Adressat HSA-id	Logisk Adressat beskrivning	Producent HSA-id	Producent beskrivning	Producent URL
urn:riv:itinfra:tp:Ping:1:rivtabp20	HSASERVICES-100M	TP Administration, SITHS V3	Ping	Ping tjänst	HSASERVICES-100R - Ping	Ping tjänst för att verifiera koppling	http://localhost:10000/test/Ping_Service
urn:riv:itinfra:tp:Ping:1:rivtabp20	HSASERVICES-10H2	eOrdination - Internet - Pascal	Ping	Ping tjänst	HSASERVICES-100R - Ping	Ping tjänst för att verifiera koppling	http://localhost:10000/test/Ping_Service
urn:riv:itinfra:tp:Ping:1:rivtabp20	HSASERVICES-100R	TP Prod	Ping	Ping tjänst	HSASERVICES-100R - Ping	Ping tjänst för att verifiera koppling	http://localhost:10000/test/Ping_Service
urn:riv:itinfra:tp:Ping:1:rivtabp20	HSASERVICES-10HR	Cybercom - Internet	Ping	Ping tjänst	HSASERVICES-100R - Ping	Ping tjänst för att verifiera koppling	http://localhost:10000/test/Ping_Service
urn:riv:crm:carelisting:CreateListing:1:rivtabp20	SE2321000016-532S	MVK	01	Stockholm (länskod)	SE2321000016-6T2X - CL	SLL - ListOn - CreateListing - RIVTA20	https://nlt.sll.sjunet.org:11978/serviceimplCreateListning.svc
urn:riv:crm:carelisting:GetAvailableFacilities:1:rivtabp20	HSASERVICES-100M	TP Administration, SITHS V3	01	Stockholm (länskod)	SE2321000016-6T2X - GAF	SLL - ListOn - GetAvailableFacilities - RIVTA20	https://nlt.sll.sjunet.org:11978/serviceimplGetAvailableFacilitiesInteraction.svc
urn:riv:crm:carelisting:GetAvailableFacilities:1:rivtabp20	SE2321000016-532S	MVK	01	Stockholm (länskod)	SE2321000016-6T2X - GAF	SLL - ListOn - GetAvailableFacilities - RIVTA20	https://nlt.sll.sjunet.org:11978/serviceimplGetAvailableFacilitiesInteraction.svc
urn:riv:crm:carelisting:GetListing:1:rivtabp20	HSASERVICES-100M	TP Administration, SITHS V3	01	Stockholm (länskod)	HVAL - GetListing	Hval24Service - GetListing	http://ine-pit-intern-vip-anp:11001/tjanstebryggan/carelisting/hval24/GetListing/1/rivtabp20
urn:riv:crm:carelisting:GetListing:1:rivtabp20	SE2321000016-532S	MVK	01	Stockholm (länskod)	HVAL - GetListing	Hval24Service - GetListing	http://ine-pit-intern-vip-anp:11001/tjanstebryggan/carelisting/hval24/GetListing/1/rivtabp20
urn:riv:crm:carelisting:GetListing:1:rivtabp20	SE2321000016-6SW1	SLL - Remittera 	01	Stockholm (länskod)	HVAL - GetListing	Hval24Service - GetListing	http://ine-pit-intern-vip-anp:11001/tjanstebryggan/carelisting/hval24/GetListing/1/rivtabp20
urn:riv:crm:carelisting:GetListingTypes:1:rivtabp20	HSASERVICES-100M	TP Administration, SITHS V3	01	Stockholm (länskod)	SE2321000016-6T2X - GLT	SLL - ListOn - GetListingTypes - RIVTA20	https://nlt.sll.sjunet.org:11978/serviceimplGetListingTypes.svc
urn:riv:crm:carelisting:GetListingTypes:1:rivtabp20	SE2321000016-532S	MVK	01	Stockholm (länskod)	SE2321000016-6T2X - GLT	SLL - ListOn - GetListingTypes - RIVTA20	https://nlt.sll.sjunet.org:11978/serviceimplGetListingTypes.svc
urn:riv:crm:carelisting:GetPersonQueueStatus:1:rivtabp20	HSASERVICES-100M	TP Administration, SITHS V3	01	Stockholm (länskod)	SE2321000016-6T2X - GPQS	SLL - ListOn - GetPersonQueueStatus - RIVTA20	https://nlt.sll.sjunet.org:11978/serviceimplGetPersonQueueStatus.svc
urn:riv:crm:carelisting:GetPersonQueueStatus:1:rivtabp20	SE2321000016-532S	MVK	01	Stockholm (länskod)	SE2321000016-6T2X - GPQS	SLL - ListOn - GetPersonQueueStatus - RIVTA20	https://nlt.sll.sjunet.org:11978/serviceimplGetPersonQueueStatus.svc
urn:riv:crm:carelisting:GetPersonQueueStatus:1:rivtabp20	HSASERVICES-100M	TP Administration, SITHS V3	01	Stockholm (länskod)	SE2321000016-6T2X - GPQS	SLL - ListOn - GetPersonQueueStatus - RIVTA20	https://nlt.sll.sjunet.org:11978/serviceimplGetPersonQueueStatus.svc
urn:riv:crm:carelisting:GetListing:1:rivtabp20	HSASERVICES-100M	TP Administration, SITHS V3	05	Östergötland (länskod)	SE2321000040-AA053 - GL	LiO - GetListing - RIVTA20	https://tp1.lio.sjunet.org/nlt/gl/GetListing.asmx
urn:riv:crm:carelisting:GetListing:1:rivtabp20	SE2321000016-532S	MVK	05	Östergötland (länskod)	SE2321000040-AA053 - GL	LiO - GetListing - RIVTA20	https://tp1.lio.sjunet.org/nlt/gl/GetListing.asmx
urn:riv:crm:carelisting:GetListing:1:rivtabp20	HSASERVICES-10J5	1177 Sjukhusvårdsrådgivningens rådgivningsstöd SLL - Listning	05	Östergötland (länskod)	SE2321000040-AA053 - GL	LiO - GetListing - RIVTA20	https://tp1.lio.sjunet.org/nlt/gl/GetListing.asmx
urn:riv:crm:carelisting:GetAvailableFacilities:1:rivtabp20	HSASERVICES-100M	TP Administration, SITHS V3	05	Östergötland (länskod)	SE2321000040-AA053 - GAF	LiO - GetAvailableFacilities - RIVTA20	https://tp1.lio.sjunet.org/nlt/gaf/GetAvailableFacilities.asmx
urn:riv:crm:carelisting:GetAvailableFacilities:1:rivtabp20	SE2321000016-532S	MVK	05	Östergötland (länskod)	SE2321000040-AA053 - GAF	LiO - GetAvailableFacilities - RIVTA20	https://tp1.lio.sjunet.org/nlt/gaf/GetAvailableFacilities.asmx
urn:riv:crm:carelisting:CreateListing:1:rivtabp20	SE2321000016-532S	MVK	05	Östergötland (länskod)	SE2321000040-AA053 - CL	LiO - CreateListing - RIVTA20	https://tp1.lio.sjunet.org/nlt/cl/CreateListing.asmx
urn:riv:crm:carelisting:CreateListing:1:rivtabp20	HSASERVICES-100M	TP Administration, SITHS V3	05	Östergötland (länskod)	SE2321000040-AA053 - CL	LiO - CreateListing - RIVTA20	https://tp1.lio.sjunet.org/nlt/cl/CreateListing.asmx
urn:riv:crm:carelisting:GetListingTypes:1:rivtabp20	SE2321000016-532S	MVK	05	Östergötland (länskod)	SE2321000040-AA053 - GLT	LiO - GetListingTypes - RIVTA20	https://tp1.lio.sjunet.org/nlt/glt/GetListingTypes.asmx
urn:riv:crm:carelisting:GetListingTypes:1:rivtabp20	HSASERVICES-100M	TP Administration, SITHS V3	05	Östergötland (länskod)	SE2321000040-AA053 - GLT	LiO - GetListingTypes - RIVTA20	https://tp1.lio.sjunet.org/nlt/glt/GetListingTypes.asmx
urn:riv:crm:carelisting:GetPersonQueueStatus:1:rivtabp20	SE2321000016-532S	MVK	05	Östergötland (länskod)	SE2321000040-AA053 - GPQS	LiO - GetPersonQueueStatus - RIVTA20	https://tp1.lio.sjunet.org/nlt/gpqs/GetPersonQueueStatus.asmx
urn:riv:crm:carelisting:GetPersonQueueStatus:1:rivtabp20	HSASERVICES-100M	TP Administration, SITHS V3	05	Östergötland (länskod)	SE2321000040-AA053 - GPQS	LiO - GetPersonQueueStatus - RIVTA20	https://tp1.lio.sjunet.org/nlt/gpqs/GetPersonQueueStatus.asmx
urn:riv:crm:carelisting:GetListing:1:rivtabp20	SE2321000016-532S	MVK	06	Jönköping (länskod)	LJ - GL	LJ - GetListing	https://dmzmvk01.lj.sjunet.org/nlt/gl/GetListing.asmx
urn:riv:crm:carelisting:GetListing:1:rivtabp20	HSASERVICES-100M	TP Administration, SITHS V3	06	Jönköping (länskod)	LJ - GL	LJ - GetListing	https://dmzmvk01.lj.sjunet.org/nlt/gl/GetListing.asmx
urn:riv:crm:carelisting:GetListing:1:rivtabp20	HSASERVICES-10J5	1177 Sjukhusvårdsrådgivningens rådgivningsstöd SLL - Listning	06	Jönköping (länskod)	LJ - GL	LJ - GetListing	https://dmzmvk01.lj.sjunet.org/nlt/gl/GetListing.asmx
urn:riv:crm:carelisting:CreateListing:1:rivtabp20	SE2321000016-532S	MVK	06	Jönköping (länskod)	LJ - CL	LJ - CreateListing	https://dmzmvk01.lj.sjunet.org/nlt/cl/CreateListing.asmx
urn:riv:crm:carelisting:CreateListing:1:rivtabp20	HSASERVICES-100M	TP Administration, SITHS V3	06	Jönköping (länskod)	LJ - CL	LJ - CreateListing	https://dmzmvk01.lj.sjunet.org/nlt/cl/CreateListing.asmx
urn:riv:crm:carelisting:GetAvailableFacilities:1:rivtabp20	HSASERVICES-100M	TP Administration, SITHS V3	06	Jönköping (länskod)	LJ - GAF	LJ - GetAvailableFacilities	https://dmzmvk01.lj.sjunet.org/nlt/gaf/GetAvailableFacilities.asmx
urn:riv:crm:carelisting:GetAvailableFacilities:1:rivtabp20	SE2321000016-532S	MVK	06	Jönköping (länskod)	LJ - GAF	LJ - GetAvailableFacilities	https://dmzmvk01.lj.sjunet.org/nlt/gaf/GetAvailableFacilities.asmx
urn:riv:crm:carelisting:GetListingTypes:1:rivtabp20	SE2321000016-532S	MVK	06	Jönköping (länskod)	LJ - GLT	LJ - GetListingTypes	https://dmzmvk01.lj.sjunet.org/nlt/glt/GetListingTypes.asmx
urn:riv:crm:carelisting:GetListingTypes:1:rivtabp20	HSASERVICES-100M	TP Administration, SITHS V3	06	Jönköping (länskod)	LJ - GLT	LJ - GetListingTypes	https://dmzmvk01.lj.sjunet.org/nlt/glt/GetListingTypes.asmx
urn:riv:crm:carelisting:GetPersonQueueStatus:1:rivtabp20	SE2321000016-532S	MVK	06	Jönköping (länskod)	LJ - GPQS	LJ - GetPersonQueueStatus	https://dmzmvk01.lj.sjunet.org/nlt/gpqs/GetPersonQueueStatus.asmx
urn:riv:crm:carelisting:GetPersonQueueStatus:1:rivtabp20	HSASERVICES-100M	TP Administration, SITHS V3	06	Jönköping (länskod)	LJ - GPQS	LJ - GetPersonQueueStatus	https://dmzmvk01.lj.sjunet.org/nlt/gpqs/GetPersonQueueStatus.asmx
urn:riv:crm:carelisting:CreateListing:1:rivtabp20	SE2321000016-532S	MVK	07	Kronoberg (länskod)	Kronoberg - CL	Kronoberg - CreateListing	https://mvklistning.ltkronoberg.sjunet.org/nlt/cl/CreateListing.asmx
urn:riv:crm:carelisting:CreateListing:1:rivtabp20	HSASERVICES-100M	TP Administration, SITHS V3	07	Kronoberg (länskod)	Kronoberg - CL	Kronoberg - CreateListing	https://mvklistning.ltkronoberg.sjunet.org/nlt/cl/CreateListing.asmx
urn:riv:crm:carelisting:GetAvailableFacilities:1:rivtabp20	HSASERVICES-100M	TP Administration, SITHS V3	07	Kronoberg (länskod)	Kronoberg - GAF	Kronoberg - GetAvailableFacilities	https://mvklistning.ltkronoberg.sjunet.org/nlt/gaf/GetAvailableFacilities.asmx
urn:riv:crm:carelisting:GetAvailableFacilities:1:rivtabp20	SE2321000016-532S	MVK	07	Kronoberg (länskod)	Kronoberg - GAF	Kronoberg - GetAvailableFacilities	https://mvklistning.ltkronoberg.sjunet.org/nlt/gaf/GetAvailableFacilities.asmx
urn:riv:crm:carelisting:GetListing:1:rivtabp20	SE2321000016-532S	MVK	07	Kronoberg (länskod)	Kronoberg - GL	Kronoberg - GetListing	https://mvklistning.ltkronoberg.sjunet.org/nlt/gl/GetListing.asmx
urn:riv:crm:carelisting:GetListing:1:rivtabp20	HSASERVICES-100M	TP Administration, SITHS V3	07	Kronoberg (länskod)	Kronoberg - GL	Kronoberg - GetListing	https://mvklistning.ltkronoberg.sjunet.org/nlt/gl/GetListing.asmx
urn:riv:crm:carelisting:GetListing:1:rivtabp20	HSASERVICES-10J5	1177 Sjukhusvårdsrådgivningens rådgivningsstöd SLL - Listning	07	Kronoberg (länskod)	Kronoberg - GL	Kronoberg - GetListing	https://mvklistning.ltkronoberg.sjunet.org/nlt/gl/GetListing.asmx
urn:riv:crm:carelisting:GetListingTypes:1:rivtabp20	SE2321000016-532S	MVK	07	Kronoberg (länskod)	Kronoberg - GLT	Kronoberg - GetListingTypes	https://mvklistning.ltkronoberg.sjunet.org/nlt/glt/GetListingTypes.asmx
urn:riv:crm:carelisting:GetListingTypes:1:rivtabp20	HSASERVICES-100M	TP Administration, SITHS V3	07	Kronoberg (länskod)	Kronoberg - GLT	Kronoberg - GetListingTypes	https://mvklistning.ltkronoberg.sjunet.org/nlt/glt/GetListingTypes.asmx
urn:riv:crm:carelisting:GetPersonQueueStatus:1:rivtabp20	SE2321000016-532S	MVK	07	Kronoberg (länskod)	Kronoberg - GPQS	Kronoberg - GetPersonQueueStatus	https://mvklistning.ltkronoberg.sjunet.org/nlt/gpqs/GetPersonQueueStatus.asmx
urn:riv:crm:carelisting:GetPersonQueueStatus:1:rivtabp20	HSASERVICES-100M	TP Administration, SITHS V3	07	Kronoberg (länskod)	Kronoberg - GPQS	Kronoberg - GetPersonQueueStatus	https://mvklistning.ltkronoberg.sjunet.org/nlt/gpqs/GetPersonQueueStatus.asmx
urn:riv:crm:carelisting:CreateListing:1:rivtabp20	SE2321000016-532S	MVK	08	Kalmar (länskod)	SE162321000073-0009 - CL	Kalmar - CreateListing	https://lisbet.ltkalmar.sjunet.org:4433/lkmvkaxis/services/CreateListingResponderService
urn:riv:crm:carelisting:CreateListing:1:rivtabp20	HSASERVICES-100M	TP Administration, SITHS V3	08	Kalmar (länskod)	SE162321000073-0009 - CL	Kalmar - CreateListing	https://lisbet.ltkalmar.sjunet.org:4433/lkmvkaxis/services/CreateListingResponderService
urn:riv:crm:carelisting:GetAvailableFacilities:1:rivtabp20	HSASERVICES-100M	TP Administration, SITHS V3	08	Kalmar (länskod)	SE162321000073-0009 - GAF	Kalmar - GetAvailableFacilities	https://lisbet.ltkalmar.sjunet.org:4433/lkmvkaxis/services/GetAvailableFacilitiesResponderService
urn:riv:crm:carelisting:GetAvailableFacilities:1:rivtabp20	SE2321000016-532S	MVK	08	Kalmar (länskod)	SE162321000073-0009 - GAF	Kalmar - GetAvailableFacilities	https://lisbet.ltkalmar.sjunet.org:4433/lkmvkaxis/services/GetAvailableFacilitiesResponderService
urn:riv:crm:carelisting:GetListing:1:rivtabp20	HSASERVICES-100M	TP Administration, SITHS V3	08	Kalmar (länskod)	SE162321000073-0009 - GL	Kalmar - GetListing	https://lisbet.ltkalmar.sjunet.org:4433/lkmvkaxis/services/GetListingResponderService
urn:riv:crm:carelisting:GetListing:1:rivtabp20	SE2321000016-532S	MVK	08	Kalmar (länskod)	SE162321000073-0009 - GL	Kalmar - GetListing	https://lisbet.ltkalmar.sjunet.org:4433/lkmvkaxis/services/GetListingResponderService
urn:riv:crm:carelisting:GetListing:1:rivtabp20	HSASERVICES-10J5	1177 Sjukhusvårdsrådgivningens rådgivningsstöd SLL - Listning	08	Kalmar (länskod)	SE162321000073-0009 - GL	Kalmar - GetListing	https://lisbet.ltkalmar.sjunet.org:4433/lkmvkaxis/services/GetListingResponderService
urn:riv:crm:carelisting:GetListingTypes:1:rivtabp20	SE2321000016-532S	MVK	08	Kalmar (länskod)	SE162321000073-0009 - GLT	Kalmar - GetListingTypes	https://lisbet.ltkalmar.sjunet.org:4433/lkmvkaxis/services/GetListingTypesResponderService
urn:riv:crm:carelisting:GetListingTypes:1:rivtabp20	HSASERVICES-100M	TP Administration, SITHS V3	08	Kalmar (länskod)	SE162321000073-0009 - GLT	Kalmar - GetListingTypes	https://lisbet.ltkalmar.sjunet.org:4433/lkmvkaxis/services/GetListingTypesResponderService
urn:riv:crm:carelisting:GetPersonQueueStatus:1:rivtabp20	SE2321000016-532S	MVK	08	Kalmar (länskod)	SE162321000073-0009 - GPQS	Kalmar - GetPersonQueueStatus	https://lisbet.ltkalmar.sjunet.org:4433/lkmvkaxis/services/GetPersonQueueStatusResponderService
urn:riv:crm:carelisting:GetPersonQueueStatus:1:rivtabp20	HSASERVICES-100M	TP Administration, SITHS V3	08	Kalmar (länskod)	SE162321000073-0009 - GPQS	Kalmar - GetPersonQueueStatus	https://lisbet.ltkalmar.sjunet.org:4433/lkmvkaxis/services/GetPersonQueueStatusResponderService
urn:riv:crm:carelisting:GetListing:1:rivtabp20	SE2321000016-532S	MVK	09	Gotland (länskod)	HVAL - GetListing	Hval24Service - GetListing	http://ine-pit-intern-vip-anp:11001/tjanstebryggan/carelisting/hval24/GetListing/1/rivtabp20
urn:riv:crm:carelisting:GetListing:1:rivtabp20	HSASERVICES-10J5	1177 Sjukhusvårdsrådgivningens rådgivningsstöd SLL - Listning	09	Gotland (länskod)	HVAL - GetListing	Hval24Service - GetListing	http://ine-pit-intern-vip-anp:11001/tjanstebryggan/carelisting/hval24/GetListing/1/rivtabp20
