TjÃ¤nstekontrakt	Konsument HSA-id	Konsument beskrivning	Logisk Adressat HSA-id	Logisk Adressat beskrivning	Producent HSA-id	Producent beskrivning	Producent URL
urn:riv:insuranceprocess:healthreporting:RegisterMedicalCertificate:3:rivtabp20	HSASERVICES-100M	TP Administration - TK QA test	Test	Test adressat	T_SERVICES_SE165565594230-1023 - RMC - Test	Teststubbe - Test -  RegisterMedicalCertificate - RIVTA20 - https 12000	https://ine-sit-intern-vip-anp:12000/tjanstebryggan/eintyg/fk/RegisterMedicalCertificate/3/rivtabp20/test
urn:riv:insuranceprocess:healthreporting:RegisterMedicalCertificate:3:rivtabp20	HSASERVICES-10BP	CGM Test - IFV	Test	Test adressat	T_SERVICES_SE165565594230-1023 - RMC - Test	Teststubbe - Test -  RegisterMedicalCertificate - RIVTA20 - https 12000	https://ine-sit-intern-vip-anp:12000/tjanstebryggan/eintyg/fk/RegisterMedicalCertificate/3/rivtabp20/test
urn:riv:insuranceprocess:healthreporting:RegisterMedicalCertificate:3:rivtabp20	HSATEST2-CB6	LJ - Medcert - IFV	Test	Test adressat	T_SERVICES_SE165565594230-1023 - RMC - Test	Teststubbe - Test -  RegisterMedicalCertificate - RIVTA20 - https 12000	https://ine-sit-intern-vip-anp:12000/tjanstebryggan/eintyg/fk/RegisterMedicalCertificate/3/rivtabp20/test
urn:riv:insuranceprocess:healthreporting:RegisterMedicalCertificate:3:rivtabp20	SE162321000156-4H4F	LiV - Cosmic - IFV	Test	Test adressat	T_SERVICES_SE165565594230-1023 - RMC - Test	Teststubbe - Test -  RegisterMedicalCertificate - RIVTA20 - https 12000	https://ine-sit-intern-vip-anp:12000/tjanstebryggan/eintyg/fk/RegisterMedicalCertificate/3/rivtabp20/test
urn:riv:insuranceprocess:healthreporting:RegisterMedicalCertificate:3:rivtabp20	SE162321000164-0080	ÖLL - SysteamCross - IFV	Test	Test adressat	T_SERVICES_SE165565594230-1023 - RMC - Test	Teststubbe - Test -  RegisterMedicalCertificate - RIVTA20 - https 12000	https://ine-sit-intern-vip-anp:12000/tjanstebryggan/eintyg/fk/RegisterMedicalCertificate/3/rivtabp20/test
urn:riv:insuranceprocess:healthreporting:RegisterMedicalCertificate:3:rivtabp20	SE162321000115-F10016	Halland - Systeam - IFV	Test	Test adressat	T_SERVICES_SE165565594230-1023 - RMC - Test	Teststubbe - Test -  RegisterMedicalCertificate - RIVTA20 - https 12000	https://ine-sit-intern-vip-anp:12000/tjanstebryggan/eintyg/fk/RegisterMedicalCertificate/3/rivtabp20/test
urn:riv:insuranceprocess:healthreporting:RegisterMedicalCertificate:3:rivtabp20	SE2321000016-A1HW	SLL - EDI - TakeCare - IFV	Test	Test adressat	T_SERVICES_SE165565594230-1023 - RMC - Test	Teststubbe - Test -  RegisterMedicalCertificate - RIVTA20 - https 12000	https://ine-sit-intern-vip-anp:12000/tjanstebryggan/eintyg/fk/RegisterMedicalCertificate/3/rivtabp20/test
urn:riv:insuranceprocess:healthreporting:RegisterMedicalCertificate:3:rivtabp20	SE162321000172-0028	LTV - Cosmic - IFV	Test	Test adressat	T_SERVICES_SE165565594230-1023 - RMC - Test	Teststubbe - Test -  RegisterMedicalCertificate - RIVTA20 - https 12000	https://ine-sit-intern-vip-anp:12000/tjanstebryggan/eintyg/fk/RegisterMedicalCertificate/3/rivtabp20/test
urn:riv:insuranceprocess:healthreporting:RegisterMedicalCertificate:3:rivtabp20	TSTNMT2321000156-B02	Nordic Medtest (NMT)	Test	Test adressat	T_SERVICES_SE165565594230-1023 - RMC - Test	Teststubbe - Test -  RegisterMedicalCertificate - RIVTA20 - https 12000	https://ine-sit-intern-vip-anp:12000/tjanstebryggan/eintyg/fk/RegisterMedicalCertificate/3/rivtabp20/test
urn:riv:insuranceprocess:healthreporting:RegisterMedicalCertificate:3:rivtabp20	HSATEST2-C4N	Intygstjänster	Test	Test adressat	T_SERVICES_SE165565594230-1023 - RMC - Test	Teststubbe - Test -  RegisterMedicalCertificate - RIVTA20 - https 12000	https://ine-sit-intern-vip-anp:12000/tjanstebryggan/eintyg/fk/RegisterMedicalCertificate/3/rivtabp20/test
urn:riv:insuranceprocess:healthreporting:RegisterMedicalCertificate:3:rivtabp20	T_SERVICES_SE165565594230-105M	Intygstjänster	Test	Test adressat	T_SERVICES_SE165565594230-1023 - RMC - Test	Teststubbe - Test -  RegisterMedicalCertificate - RIVTA20 - https 12000	https://ine-sit-intern-vip-anp:12000/tjanstebryggan/eintyg/fk/RegisterMedicalCertificate/3/rivtabp20/test
urn:riv:insuranceprocess:healthreporting:RegisterMedicalCertificate:3:rivtabp20	HSASERVICES-101W	Uppsala - IFV	Test	Test adressat	T_SERVICES_SE165565594230-1023 - RMC - Test	Teststubbe - Test -  RegisterMedicalCertificate - RIVTA20 - https 12000	https://ine-sit-intern-vip-anp:12000/tjanstebryggan/eintyg/fk/RegisterMedicalCertificate/3/rivtabp20/test
urn:riv:insuranceprocess:healthreporting:SendMedicalCertificateQuestion:1:rivtabp20	HSASERVICES-100M	TP Administration - TK QA test	Test	Test adressat	T_SERVICES_SE165565594230-1023 - SMCQ - Test	Teststubbe - Test - SendMedCertQuestion - RIVTA20	http://ine-sit-app08.sth.basefarm.net:14000/teststub/eintyg/testproducer/SendMedicalCertificateQuestion/1/rivtabp20/test
urn:riv:insuranceprocess:healthreporting:SendMedicalCertificateQuestion:1:rivtabp20	SE162321000214-R000006	JLL - Systeam - IFV	Test	Test adressat	T_SERVICES_SE165565594230-1023 - SMCQ - Test	Teststubbe - Test - SendMedCertQuestion - RIVTA20	http://ine-sit-app08.sth.basefarm.net:14000/teststub/eintyg/testproducer/SendMedicalCertificateQuestion/1/rivtabp20/test
urn:riv:insuranceprocess:healthreporting:SendMedicalCertificateQuestion:1:rivtabp20	LKL162321000073-T001	Kalmar - IFV	Test	Test adressat	T_SERVICES_SE165565594230-1023 - SMCQ - Test	Teststubbe - Test - SendMedCertQuestion - RIVTA20	http://ine-sit-app08.sth.basefarm.net:14000/teststub/eintyg/testproducer/SendMedicalCertificateQuestion/1/rivtabp20/test
urn:riv:insuranceprocess:healthreporting:SendMedicalCertificateQuestion:1:rivtabp20	SE162321000164-0080	ÖLL - SysteamCross - IFV	Test	Test adressat	T_SERVICES_SE165565594230-1023 - SMCQ - Test	Teststubbe - Test - SendMedCertQuestion - RIVTA20	http://ine-sit-app08.sth.basefarm.net:14000/teststub/eintyg/testproducer/SendMedicalCertificateQuestion/1/rivtabp20/test
urn:riv:insuranceprocess:healthreporting:SendMedicalCertificateQuestion:1:rivtabp20	SE2321000065-T7330028062364	Kronoberg - Medcert - IFV	Test	Test adressat	T_SERVICES_SE165565594230-1023 - SMCQ - Test	Teststubbe - Test - SendMedCertQuestion - RIVTA20	http://ine-sit-app08.sth.basefarm.net:14000/teststub/eintyg/testproducer/SendMedicalCertificateQuestion/1/rivtabp20/test
